season,week,n_active,n_elim,actual_elim,pred_pct,pred_rank,pct_match,rank_match,same_pred,V_elim_pct,V_elim_rank,pct_more_audience,rank_more_audience,margin_pct,margin_rank
15,4,9,1,Bristol Palin,Bristol Palin,Bristol Palin,1,1,1,1.938070593317213e-09,1.938070593317213e-09,0,0,0.06896692679561955,0.07777777777777778
15,6,8,1,Sabrina Bryan,Sabrina Bryan,Gilles Marini,1,0,0,5.347945945325314e-10,0.1450565792209774,1,0,0.06698893454646984,0.0
15,8,7,2,Gilles Marini | Kirstie Alley,Kirstie Alley | Gilles Marini,Kirstie Alley | Gilles Marini,1,1,1,9.88274677072287e-10,9.88274677072287e-10,0,0,0.0990466105937844,0.026785714285714274
15,9,5,2,Apolo Anton Ohno | Emmitt Smith,Emmitt Smith | Apolo Anton Ohno,Emmitt Smith | Apolo Anton Ohno,1,1,1,3.290363428328432e-07,3.290363428328432e-07,0,0,0.1661202487283127,0.1
16,2,12,1,Dorothy Hamill,Dorothy Hamill,Dorothy Hamill,1,1,1,1.6183617070233183e-09,1.6183617070233183e-09,0,0,0.0573189795399287,0.07051282051282053
16,3,11,1,Wynonna Judd,Wynonna Judd,Wynonna Judd,1,1,1,1.4302070093580314e-09,1.4302070093580314e-09,0,0,0.06482355196814196,0.07575757575757576
16,4,10,1,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,1,1,1,2.126100178917667e-09,2.126100178917667e-09,0,0,0.06641138371074255,0.08181818181818182
16,5,9,1,D. L. Hughley,D. L. Hughley,D. L. Hughley,1,1,1,1.1046475588295561e-08,1.1046475588295561e-08,0,0,0.0764824770541819,0.08888888888888889
16,6,8,1,Victor Ortiz,Victor Ortiz,Victor Ortiz,1,1,1,2.4194596566312887e-09,2.4194596566312887e-09,0,0,0.08219417469403106,0.10416666666666667
16,7,7,1,Andy Dick,Andy Dick,Andy Dick,1,1,1,1.2755667891504451e-09,1.2755667891504451e-09,0,0,0.11270404475310454,0.12499999999999999
16,8,6,1,Sean Lowe,Sean Lowe,Sean Lowe,1,1,1,7.881378450699562e-09,7.881378450699562e-09,0,0,0.11891281053752772,0.14285714285714285
16,9,5,1,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,1,1,1,1.5821934776203632e-08,1.5821934776203632e-08,0,0,0.13693633246368164,0.15000000000000002
17,2,12,1,Keyshawn Johnson,Keyshawn Johnson,Keyshawn Johnson,1,1,1,1.5654286247785394e-09,1.5654286247785394e-09,0,0,0.05394400986564024,0.0641025641025641
17,3,11,1,Bill Nye,Bill Nye,Bill Nye,1,1,1,3.3032587942542662e-09,3.3032587942542662e-09,0,0,0.06539706676806414,0.07575757575757576
17,4,10,1,Valerie Harper,Valerie Harper,Valerie Harper,1,1,1,8.296000920700103e-09,8.296000920700103e-09,0,0,0.06887963450221174,0.07727272727272727
17,5,9,1,Christina Milian,Christina Milian,"Nicole ""Snooki"" Polizzi",1,0,0,1.7370585530088483e-09,0.1202339154208316,1,0,0.057941620536196566,0.00555555555555555
17,7,8,1,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",1,1,1,1.0001607843287823e-09,1.0001607843287823e-09,0,0,0.07317255325064036,0.0625
17,8,7,1,Brant Daugherty,Brant Daugherty,Brant Daugherty,1,1,1,4.052908307020603e-09,4.052908307020603e-09,0,0,0.0845988023661819,0.07142857142857142
17,9,6,1,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,1,1,1,2.544578543383921e-09,2.544578543383921e-09,0,0,0.09326604753703416,0.011904761904761918
17,10,5,1,Leah Remini,Leah Remini,Leah Remini,1,1,1,7.135212087828422e-06,7.135212087828422e-06,0,0,0.13382163619771342,0.09999999999999998
18,1,12,1,Diana Nyad,Diana Nyad,Diana Nyad,1,1,1,3.924406354595111e-09,3.924406354595111e-09,0,0,0.05335734149023752,0.0641025641025641
